month,boardings,share_uniform,share_sqrt,share_demand
2020-04,587134.0,0.022222222222222223,0.020641361449410162,0.018910725187655873
2020-05,585091.0,0.022222222222222223,0.020605418164315107,0.018844923153438164
2020-06,545199.0,0.022222222222222223,0.019890570920858785,0.01756006032964331
2020-07,518874.0,0.022222222222222223,0.01940442054225228,0.01671217068168383
2020-08,543423.0,0.022222222222222223,0.019858147466790984,0.017502857973906327
2020-09,547121.0,0.022222222222222223,0.01992560037214491,0.017621965131291103
2020-10,584177.0,0.022222222222222223,0.02058931749528777,0.018815484553695146
2020-11,569281.0,0.022222222222222223,0.020325117654838836,0.018335706236657943
2020-12,420137.0,0.022222222222222223,0.01746084224573273,0.013531996696096933
2021-01,243082.0,0.022222222222222223,0.013281469340547762,0.007829314773230242
2021-02,449529.0,0.022222222222222223,0.018061282297279456,0.014478669916717066
2021-03,517211.0,0.022222222222222223,0.019373299837615977,0.016658607890247683
2021-04,594496.0,0.022222222222222223,0.020770368038256142,0.019147844412281807
2021-05,535225.0,0.022222222222222223,0.01970778968695133,0.01723881241516096
2021-06,559917.0,0.022222222222222223,0.02015726244939424,0.018034105527693363
2021-07,569281.0,0.022222222222222223,0.020325117654838836,0.018335706236657943
2021-08,638892.0,0.022222222222222223,0.021531954263028518,0.0205777744715718
2021-09,672068.0,0.022222222222222223,0.022083928493688707,0.021646324783469374
2021-10,700832.0,0.022222222222222223,0.02255156497794167,0.022572771044966296
2021-11,703615.0,0.022222222222222223,0.022596296684566277,0.022662407394074418
2021-12,679919.0,0.022222222222222223,0.022212544575777385,0.02189919398104316
2022-01,628392.0,0.022222222222222223,0.02135428562392649,0.020239584868397078
2022-02,733124.0,0.022222222222222223,0.023065264654734383,0.023612849013129926
2022-03,863078.0,0.022222222222222223,0.025026190543757695,0.027798476793222088
2022-04,811435.0,0.022222222222222223,0.024265910519408185,0.026135131490674268
2022-05,756764.0,0.022222222222222223,0.02343419047829415,0.02437425874827758
2022-06,602742.0,0.022222222222222223,0.02091392041427477,0.01941343598064169
2023-01,801310.0,0.022222222222222223,0.024114041550167036,0.02580902008761293
2023-02,722810.0,0.022222222222222223,0.022902442411725697,0.02328065019721144
2023-03,910446.0,0.022222222222222223,0.02570376960084662,0.029324130614477344
2023-04,885155.0,0.022222222222222223,0.02534424668394261,0.028509544590297167
2023-05,862289.0,0.022222222222222223,0.025014748832159032,0.02777306426018353
2023-06,757200.0,0.022222222222222223,0.02344094016236296,0.024388301668942743
2023-07,687633.0,0.022222222222222223,0.022338195058997198,0.022147650609508854
2023-08,785915.0,0.022222222222222223,0.023881275156127892,0.025313169712291517
2023-09,818894.375,0.022222222222222223,0.024377191418553924,0.026375387021262974
2023-10,857065.5,0.022222222222222223,0.02493886764600291,0.027604822984737515
2023-11,795705.0,0.022222222222222223,0.024029557152179002,0.0256284912565849
2023-12,760196.5,0.022222222222222223,0.02348727628402792,0.02448481453998208
2024-01,877075.0,0.022222222222222223,0.02522830598006199,0.028249299638520808
2024-02,921759.0,0.022222222222222223,0.0258629712457393,0.02968850575549788
2024-03,929421.0,0.022222222222222223,0.025970240059666274,0.029935287540214517
2024-04,885115.0,0.022222222222222223,0.025343674026430292,0.028508256248951737
2024-05,866183.0,0.022222222222222223,0.02507116710336081,0.027898484290160896
2024-06,763461.0,0.022222222222222223,0.023537652781735002,0.024589959298035785
