date,month,route,direction,directed_route,boardings,weekday_frequency,n_stops,od_total,rel_boardings_error,mean_trip_km,share_demand,f_uniform,f_sqrt,f_observed
2023-10,2023-10,A Line,Northbound,A Line Northbound,798.0,5,26,798.0,0.0,3.945121854879227,0.07684899845916796,5.928571428571429,6.357235139860617,5.0
2023-10,2023-10,A Line,Southbound,A Line Southbound,613.0,5,25,613.0,0.0,3.9235463102929278,0.059033127889060094,5.928571428571429,5.5718198585903655,5.0
2023-10,2023-10,B Line,Eastbound,B Line Eastbound,345.0,6,25,345.00000000000006,1.647635329298783e-16,2.670449480814515,0.03322419106317411,5.928571428571429,4.180000918129572,6.0
2023-10,2023-10,B Line,Westbound,B Line Westbound,554.0,5,24,553.9999999999999,2.0521089841446938e-16,2.6654701150547,0.05335130970724191,5.928571428571429,5.296899243969141,5.0
2023-10,2023-10,C Line,Northbound,C Line Northbound,1459.0,7,27,1459.0,0.0,3.7546591314535247,0.14050462249614792,5.928571428571429,8.59596177496508,7.0
2023-10,2023-10,C Line,Southbound,C Line Southbound,296.0,6,24,296.0,0.0,3.6356499951978134,0.028505392912172575,5.928571428571429,3.8717979465662564,6.0
2023-10,2023-10,D Line,Northbound,D Line Northbound,815.0,6,28,814.9999999999999,1.3949305241916078e-16,2.9606509547279227,0.07848613251155624,5.928571428571429,6.424593204419603,6.0
2023-10,2023-10,D Line,Southbound,D Line Southbound,1108.0,7,27,1108.0000000000002,2.0521089841446938e-16,2.8739743206735877,0.10670261941448382,5.928571428571429,7.490946749344952,7.0
2023-10,2023-10,E Line,Northbound,E Line Northbound,725.0,5,36,725.0,0.0,4.341123437656654,0.06981895223420648,5.928571428571429,6.059486648937279,5.0
2023-10,2023-10,E Line,Southbound,E Line Southbound,1413.0,8,36,1413.0,0.0,4.785996014244581,0.13607473035439138,5.928571428571429,8.459367853446198,8.0
2023-10,2023-10,F Line,Eastbound,F Line Eastbound,396.0,5,32,396.0,0.0,2.8759083554798233,0.038135593220338986,5.928571428571429,4.478312777369598,5.0
2023-10,2023-10,F Line,Westbound,F Line Westbound,328.0,5,31,327.9999999999999,3.4660621256590254e-16,2.974487513077947,0.031587057010785825,5.928571428571429,4.075714471938406,5.0
2023-10,2023-10,H Line,Northbound,H Line Northbound,1107.0,7,31,1107.0,0.0,3.844503711497803,0.10660631741140215,5.928571428571429,7.487565595144561,7.0
2023-10,2023-10,H Line,Southbound,H Line Southbound,427.0,6,31,427.0,0.0,3.5478509844827606,0.04112095531587057,5.928571428571429,4.650297817318382,6.0
