route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
39,Local_Sunday_10_2307-PHNS_0000001,18965118,"Union Hills/PVCC",0,,390009,6646
39,Local_Sunday_10_2307-PHNS_0000001,18965119,"Union Hills/PVCC",0,,390009,6676
39,Local_Sunday_10_2307-PHNS_0000001,18965120,"Union Hills/PVCC",0,,390009,6667
44,Local_Sunday_10_2307-PHNS_0000001,18965121,"Sky Train 44th St",1,,440024,6787
39,Local_Sunday_10_2307-PHNS_0000001,18965122,"Union Hills/PVCC",0,,390009,6656
52,Local_Sunday_10_2307-PHNS_0000001,18965123,"48th St+Roeser",0,,520026,6875
16,Local_Sunday_10_2307-PHNS_0000001,18965124,"Union Hills/PVCC",0,,160061,6210
39,Local_Sunday_10_2307-PHNS_0000001,18965125,"Union Hills/PVCC",0,,390009,6654
52,Local_Sunday_10_2307-PHNS_0000001,18965126,"48th St+Roeser",0,,520026,6881
39,Local_Sunday_10_2307-PHNS_0000001,18965127,"Union Hills/PVCC",0,,390009,6660
52,Local_Sunday_10_2307-PHNS_0000001,18965128,"48th St+Roeser",0,,520026,6890
39,Local_Sunday_10_2307-PHNS_0000001,18965129,"Union Hills/PVCC",0,,390009,6672
44,Local_Sunday_10_2307-PHNS_0000001,18965130,"Sky Train 44th St",1,,440024,6783
39,Local_Sunday_10_2307-PHNS_0000001,18965131,"Union Hills/PVCC",0,,390009,6661
16,Local_Sunday_10_2307-PHNS_0000001,18965132,"Union Hills/PVCC",0,,160061,6209
39,Local_Sunday_10_2307-PHNS_0000001,18965133,"Union Hills/PVCC",0,,390009,6677
39,Local_Sunday_10_2307-PHNS_0000001,18965134,"Union Hills/PVCC",0,,390009,6648
39,Local_Sunday_10_2307-PHNS_0000001,18965135,"Union Hills/PVCC",0,,390009,6668
52,Local_Sunday_10_2307-PHNS_0000001,18965136,"48th St+Roeser",0,,520026,6876
52,Local_Sunday_10_2307-PHNS_0000001,18965137,"48th St+Roeser",0,,520026,6886
39,Local_Sunday_10_2307-PHNS_0000001,18965138,"Union Hills/PVCC",0,,390009,6664
44,Local_Sunday_10_2307-PHNS_0000001,18965139,"Sky Train 44th St",1,,440024,6775
39,Local_Sunday_10_2307-PHNS_0000001,18965140,"Union Hills/PVCC",0,,390009,6669
39,Local_Sunday_10_2307-PHNS_0000001,18965141,"Union Hills/PVCC",0,,390009,6673
52,Local_Sunday_10_2307-PHNS_0000001,18965142,"48th St+Roeser",0,,520026,6882
16,Local_Sunday_10_2307-PHNS_0000001,18965143,"Union Hills/PVCC",0,,160061,6207
52,Local_Sunday_10_2307-PHNS_0000001,18965144,"48th St+Roeser",0,,520026,6871
39,Local_Sunday_10_2307-PHNS_0000001,18965145,"Union Hills/PVCC",0,,390009,6651
44,Local_Sunday_10_2307-PHNS_0000001,18965146,"Sky Train 44th St",1,,440024,6781
16,Local_Sunday_10_2307-PHNS_0000001,18965147,"Union Hills/PVCC",0,,160061,6217
39,Local_Sunday_10_2307-PHNS_0000001,18965148,"Union Hills/PVCC",0,,390009,6649
52,Local_Sunday_10_2307-PHNS_0000001,18965149,"48th St+Roeser",0,,520026,6877
39,Local_Sunday_10_2307-PHNS_0000001,18965150,"Union Hills/PVCC",0,,390009,6657
