name,node_id,x_coord,y_coord,node_type,geometry,agency_name,route_id,route_type,terminal_flag,physical_node_id,ctrl_type,agent_type,zone_id,directed_route_id,directed_service_id
9034,1000046,-112.083335,33.509288,stop,POINT (-112.083335   33.509288),Valley Metro,RAIL,0,0,1000046,,,,,
9029,1000047,-112.098824,33.509537,stop,POINT (-112.098824   33.509537),Valley Metro,RAIL,0,0,1000047,,,,,
9044,1000048,-112.099722,33.520585,stop,POINT (-112.099722   33.520585),Valley Metro,RAIL,0,0,1000048,,,,,
6655,1000049,-112.099663,33.537448,stop,POINT (-112.099663   33.537448),Valley Metro,RAIL,0,0,1000049,,,,,
6657,1000050,-112.099612,33.55227,stop,POINT (-112.099612   33.552270),Valley Metro,RAIL,0,0,1000050,,,,,
6659,1000051,-112.100848,33.567384,stop,POINT (-112.100848   33.567384),Valley Metro,RAIL,0,0,1000051,,,,,
9498,1000052,-111.830655,33.41511,stop,POINT (-111.830655   33.415110),Valley Metro,RAIL,0,0,1000052,,,,,
9347,1000053,-111.839074,33.41512,stop,POINT (-111.839074   33.415120),Valley Metro,RAIL,0,0,1000053,,,,,
9125,1000054,-111.855564,33.41494,stop,POINT (-111.855564   33.414940),Valley Metro,RAIL,0,0,1000054,,,,,
9050,1000055,-111.870907,33.414855,stop,POINT (-111.870907   33.414855),Valley Metro,RAIL,0,0,1000055,,,,,
9046,1000056,-111.888114,33.414821,stop,POINT (-111.888114   33.414821),Valley Metro,RAIL,0,0,1000056,,,,,
9049,1000057,-111.900799,33.414789,stop,POINT (-111.900799   33.414789),Valley Metro,RAIL,0,1,1000057,,,,,
9763,1000058,-111.790741,33.415331,stop,POINT (-111.790741   33.415331),Valley Metro,RAIL,0,1,1000058,,,,,
6660,1000059,-112.100848,33.567384,stop,POINT (-112.100848   33.567384),Valley Metro,RAIL,0,0,1000059,,,,,
9018,1000060,-112.073794,33.48686,stop,POINT (-112.073794   33.486860),Valley Metro,RAIL,0,0,1000060,,,,,
9024,1000061,-112.073761,33.481233,stop,POINT (-112.073761   33.481233),Valley Metro,RAIL,0,0,1000061,,,,,
9011,1000062,-112.073799,33.473655,stop,POINT (-112.073799   33.473655),Valley Metro,RAIL,0,0,1000062,,,,,
9015,1000063,-112.073811,33.464703,stop,POINT (-112.073811   33.464703),Valley Metro,RAIL,0,0,1000063,,,,,
9021,1000064,-112.074011,33.459391,stop,POINT (-112.074011   33.459391),Valley Metro,RAIL,0,0,1000064,,,,,
9026,1000065,-112.075038,33.451861,stop,POINT (-112.075038   33.451861),Valley Metro,RAIL,0,0,1000065,,,,,
9013,1000066,-112.075234,33.447823,stop,POINT (-112.075234   33.447823),Valley Metro,RAIL,0,0,1000066,,,,,
9004,1000067,-112.069297,33.446274,stop,POINT (-112.069297   33.446274),Valley Metro,RAIL,0,0,1000067,,,,,
9000,1000068,-112.055664,33.447199,stop,POINT (-112.055664   33.447199),Valley Metro,RAIL,0,0,1000068,,,,,
9002,1000069,-112.029262,33.447229,stop,POINT (-112.029262   33.447229),Valley Metro,RAIL,0,0,1000069,,,,,
6658,1000070,-112.099612,33.55227,stop,POINT (-112.099612   33.552270),Valley Metro,RAIL,0,0,1000070,,,,,
9003,1000071,-111.999879,33.448102,stop,POINT (-111.999879   33.448102),Valley Metro,RAIL,0,0,1000071,,,,,
9005,1000072,-111.98798,33.448168,stop,POINT (-111.987980   33.448168),Valley Metro,RAIL,0,0,1000072,,,,,
9765,1000073,-111.975231,33.446946,stop,POINT (-111.975231   33.446946),Valley Metro,RAIL,0,0,1000073,,,,,
9020,1000074,-111.956107,33.442008,stop,POINT (-111.956107   33.442008),Valley Metro,RAIL,0,0,1000074,,,,,
9008,1000075,-111.946605,33.438047,stop,POINT (-111.946605   33.438047),Valley Metro,RAIL,0,0,1000075,,,,,
9016,1000076,-111.940697,33.427452,stop,POINT (-111.940697   33.427452),Valley Metro,RAIL,0,0,1000076,,,,,
9027,1000077,-111.935961,33.426069,stop,POINT (-111.935961   33.426069),Valley Metro,RAIL,0,0,1000077,,,,,
9025,1000078,-111.92697,33.420732,stop,POINT (-111.926970   33.420732),Valley Metro,RAIL,0,0,1000078,,,,,
9010,1000079,-111.916899,33.414776,stop,POINT (-111.916899   33.414776),Valley Metro,RAIL,0,0,1000079,,,,,
9014,1000080,-111.908269,33.41474,stop,POINT (-111.908269   33.414740),Valley Metro,RAIL,0,0,1000080,,,,,
6656,1000081,-112.099663,33.537448,stop,POINT (-112.099663   33.537448),Valley Metro,RAIL,0,0,1000081,,,,,
9022,1000082,-111.900799,33.414789,stop,POINT (-111.900799   33.414789),Valley Metro,RAIL,0,0,1000082,,,,,
9019,1000083,-111.888114,33.414821,stop,POINT (-111.888114   33.414821),Valley Metro,RAIL,0,0,1000083,,,,,
9023,1000084,-111.870907,33.414855,stop,POINT (-111.870907   33.414855),Valley Metro,RAIL,0,0,1000084,,,,,
9126,1000085,-111.855564,33.41494,stop,POINT (-111.855564   33.414940),Valley Metro,RAIL,0,0,1000085,,,,,
9353,1000086,-111.839074,33.41512,stop,POINT (-111.839074   33.415120),Valley Metro,RAIL,0,0,1000086,,,,,
9499,1000087,-111.830655,33.41511,stop,POINT (-111.830655   33.415110),Valley Metro,RAIL,0,0,1000087,,,,,
9508,1000088,-111.822135,33.415066,stop,POINT (-111.822135   33.415066),Valley Metro,RAIL,0,0,1000088,,,,,
8328,1000089,-111.803099,33.415225,stop,POINT (-111.803099   33.415225),Valley Metro,RAIL,0,0,1000089,,,,,
9017,1000090,-112.099722,33.520585,stop,POINT (-112.099722   33.520585),Valley Metro,RAIL,0,0,1000090,,,,,
9001,1000091,-112.098823,33.509537,stop,POINT (-112.098823   33.509537),Valley Metro,RAIL,0,0,1000091,,,,,
9006,1000092,-112.083335,33.509288,stop,POINT (-112.083335   33.509288),Valley Metro,RAIL,0,0,1000092,,,,,
9009,1000093,-112.075192,33.50855,stop,POINT (-112.075192   33.508550),Valley Metro,RAIL,0,0,1000093,,,,,
9007,1000094,-112.073768,33.501398,stop,POINT (-112.073768   33.501398),Valley Metro,RAIL,0,0,1000094,,,,,
9012,1000095,-112.073773,33.495749,stop,POINT (-112.073773   33.495749),Valley Metro,RAIL,0,1,1000095,,,,,
S.1.9766:1;10;11;12;2;3;4;5;6;7;8;9,1500001,-111.932784,33.429252,tram_service_node,POINT (-111.932784 33.429252),Valley Metro,S,0,1,1000001,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9666:1;10;11;12;2;3;4;5;6;7;8;9,1500002,-111.929471,33.414634,tram_service_node,POINT (-111.929471 33.414634),Valley Metro,S,0,0,1000002,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9099:1;10;11;12;2;3;4;5;6;7;8;9,1500003,-111.92535000000001,33.41466,tram_service_node,POINT (-111.92535000000001 33.41466),Valley Metro,S,0,0,1000003,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9694:1;10;11;12;2;3;4;5;6;7;8;9,1500004,-111.91708100000001,33.414553,tram_service_node,POINT (-111.91708100000001 33.414553),Valley Metro,S,0,0,1000004,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9419:1;10;11;12;2;3;4;5;6;7;8;9,1500005,-111.938271,33.430035999999994,tram_service_node,POINT (-111.938271 33.430035999999994),Valley Metro,S,0,0,1000005,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9767:1;10;11;12;2;3;4;5;6;7;8;9,1500006,-111.942097,33.429351999999994,tram_service_node,POINT (-111.942097 33.429351999999994),Valley Metro,S,0,0,1000006,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9525:1;10;11;12;2;3;4;5;6;7;8;9,1500007,-111.94311900000001,33.427302,tram_service_node,POINT (-111.94311900000001 33.427302),Valley Metro,S,0,0,1000007,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9545:1;10;11;12;2;3;4;5;6;7;8;9,1500008,-111.943557,33.425003,tram_service_node,POINT (-111.943557 33.425003),Valley Metro,S,0,0,1000008,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9768:1;10;11;12;2;3;4;5;6;7;8;9,1500009,-111.942601,33.422255,tram_service_node,POINT (-111.942601 33.422255),Valley Metro,S,0,0,1000009,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9551:1;10;11;12;2;3;4;5;6;7;8;9,1500010,-111.940033,33.420821999999994,tram_service_node,POINT (-111.940033 33.420821999999994),Valley Metro,S,0,0,1000010,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9546:1;10;11;12;2;3;4;5;6;7;8;9,1500011,-111.940023,33.417987999999994,tram_service_node,POINT (-111.940023 33.417987999999994),Valley Metro,S,0,0,1000011,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.1.9769:1;10;11;12;2;3;4;5;6;7;8;9,1500012,-111.935371,33.414578,tram_service_node,POINT (-111.935371 33.414578),Valley Metro,S,0,1,1000012,,,,S.1,S.1:1;10;11;12;2;3;4;5;6;7;8;9
S.2.9694:1;10;2;3;4;5;6;7;8;9,1500013,-111.91708100000001,33.414553,tram_service_node,POINT (-111.91708100000001 33.414553),Valley Metro,S,0,1,1000004,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9766:1;10;2;3;4;5;6;7;8;9,1500014,-111.932784,33.429252,tram_service_node,POINT (-111.932784 33.429252),Valley Metro,S,0,0,1000001,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9721:1;10;2;3;4;5;6;7;8;9,1500015,-111.92535000000001,33.41466,tram_service_node,POINT (-111.92535000000001 33.41466),Valley Metro,S,0,0,1000013,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.8954:1;10;2;3;4;5;6;7;8;9,1500016,-111.929471,33.414634,tram_service_node,POINT (-111.929471 33.414634),Valley Metro,S,0,0,1000014,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9771:1;10;2;3;4;5;6;7;8;9,1500017,-111.935371,33.414578,tram_service_node,POINT (-111.935371 33.414578),Valley Metro,S,0,0,1000015,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9731:1;10;2;3;4;5;6;7;8;9,1500018,-111.940005,33.417987999999994,tram_service_node,POINT (-111.940005 33.417987999999994),Valley Metro,S,0,0,1000016,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
S.2.9772:1;10;2;3;4;5;6;7;8;9,1500019,-111.940033,33.420821999999994,tram_service_node,POINT (-111.940033 33.420821999999994),Valley Metro,S,0,0,1000017,,,,S.2,S.2:1;10;2;3;4;5;6;7;8;9
