link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000013,1500035,1500036,tram,1,RAIL.1,1,service_links,2587.993257763296,1,999999,33.75643379691255,0,4,999999.0,0.15,4,0,"LINESTRING (-112.029285   33.448192, -112.057179   33.448248)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,20,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000014,1500036,1500037,tram,1,RAIL.1,1,service_links,1244.7796487366218,1,999999,20.746327478943694,0,3,999999.0,0.15,4,0,"LINESTRING (-112.057179   33.448248, -112.070595   33.448352)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,21,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000015,1500037,1500038,tram,1,RAIL.1,1,service_links,309.31972934473265,1,999999,7.1381476002630615,0,2,999999.0,0.15,4,0,"LINESTRING (-112.070595   33.448352, -112.073866   33.448890)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,22,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000016,1500038,1500039,tram,1,RAIL.1,1,service_links,337.2441175553234,1,999999,7.782556558969001,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073866   33.448890, -112.073955   33.451922)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,23,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000017,1500039,1500040,tram,1,RAIL.1,1,service_links,833.5510423911356,1,999999,19.235793285949285,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073955   33.451922, -112.073874   33.459418)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,24,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000018,1500040,1500041,tram,1,RAIL.1,1,service_links,587.6942458664435,1,999999,9.794904097774058,0,3,999999.0,0.15,4,0,"LINESTRING (-112.073874   33.459418, -112.073811   33.464703)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,25,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000019,1500041,1500042,tram,1,RAIL.1,1,service_links,995.417605650422,1,999999,22.971175515009737,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073811   33.464703, -112.073799   33.473655)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,26,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000020,1500042,1500043,tram,1,RAIL.1,1,service_links,842.6425247506634,1,999999,19.445596725015307,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073799   33.473655, -112.073761   33.481233)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,27,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000021,1500043,1500044,tram,1,RAIL.1,1,service_links,625.701336965724,1,999999,14.439261622285937,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073761   33.481233, -112.073794   33.486860)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,28,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000022,1500044,1500045,tram,1,RAIL.1,1,service_links,24675.07554032871,1,999999,5.0,0,-68,999999.0,0.15,4,0,"LINESTRING (-112.073794   33.486860, -111.822135   33.415066)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,29,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000023,1500045,1500046,tram,1,RAIL.1,1,service_links,25009.411481375508,1,999999,21.254457349610913,0,70,999999.0,0.15,4,0,"LINESTRING (-111.822135   33.415066, -112.073773   33.495749)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,3,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000024,1500046,1500047,tram,1,RAIL.1,1,service_links,628.1403117152453,1,999999,14.495545654967199,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073773   33.495749, -112.073768   33.501398)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,30,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000025,1500047,1500048,tram,1,RAIL.1,1,service_links,833.0565555873982,1,999999,19.22438205201688,0,2,999999.0,0.15,4,0,"LINESTRING (-112.073768   33.501398, -112.075395   33.508766)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,31,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000026,1500048,1500049,tram,1,RAIL.1,1,service_links,738.4355274441435,1,999999,17.04081986409562,0,2,999999.0,0.15,4,0,"LINESTRING (-112.075395   33.508766, -112.083335   33.509288)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,32,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000027,1500049,1500050,tram,1,RAIL.1,1,service_links,1436.310770510186,1,999999,23.93851284183643,0,3,999999.0,0.15,4,0,"LINESTRING (-112.083335   33.509288, -112.098824   33.509537)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,33,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000028,1500050,1500051,tram,1,RAIL.1,1,service_links,1231.2992072565933,1,999999,20.521653454276553,0,3,999999.0,0.15,4,0,"LINESTRING (-112.098824   33.509537, -112.099722   33.520585)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,34,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
