route_key,mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,volume,WKT_geometry
26_9_transit,transit,26,9,-122.267,37.8288,-121.875,37.3685,39.6406,63.7817,38.3831,61.7584,1.03276,65.8652,65.9135,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-121.976705 37.557413,-121.939458 37.502207,-121.890903 37.409736,-121.874761 37.368395,-121.874661 37.368495)"
26_11_transit,transit,26,11,-122.267,37.8288,-122.414,37.7794,10.028,16.1351,8.7055,14.0071,1.15192,22.8573,25.0527,49,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.413879 37.779450)"
26_13_transit,transit,26,13,-122.267,37.8288,-122.197,37.7536,7.18461,11.56,6.46587,10.4036,1.11116,18.8553,18.8893,10,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.196698 37.753604)"
26_14_transit,transit,26,14,-122.267,37.8288,-122.029,37.9738,17.5433,28.2272,16.3933,26.3768,1.07015,25.8559,25.856,3,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.067479 37.905712,-122.056115 37.928363,-122.029226 37.973673,-122.029126 37.973773)"
26_15_transit,transit,26,15,-122.267,37.8288,-122.469,37.7063,16.1969,26.0608,13.8988,22.3631,1.16535,35.8624,38.0609,6,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.468994 37.706304)"
26_16_transit,transit,26,16,-122.267,37.8288,-122.268,37.8701,2.88144,4.63624,2.85423,4.59246,1.00953,6.85209,6.85222,11,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.268078 37.870117)"
26_17_transit,transit,26,17,-122.267,37.8288,-122.317,37.9252,7.75511,12.478,7.1906,11.5697,1.07851,14.855,14.8551,5,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.283608 37.873932,-122.298995 37.902533,-122.316968 37.925105,-122.316868 37.925205)"
26_19_transit,transit,26,19,-122.267,37.8288,-122.397,37.7928,8.72739,14.0424,7.51592,12.0931,1.16119,17.8543,19.9696,77,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.397080 37.792789)"
26_20_transit,transit,26,20,-122.267,37.8288,-121.977,37.5575,25.3989,40.8668,24.5713,39.5352,1.03368,45.8618,45.9098,2,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-121.976705 37.557413,-121.976605 37.557513)"
26_21_transit,transit,26,21,-122.267,37.8288,-122.224,37.7749,5.08789,8.18641,4.4075,7.09167,1.15437,15.8543,15.885,4,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.224067 37.774873)"
26_22_transit,transit,26,22,-122.267,37.8288,-122.434,37.7333,13.5074,21.7334,11.2315,18.0716,1.20263,29.8604,32.0585,5,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.433557 37.733269)"
26_23_transit,transit,26,23,-122.267,37.8288,-122.087,37.6697,15.5401,25.0041,14.7567,23.7435,1.05309,31.8585,31.8994,7,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.086941 37.669731)"
26_24_transit,transit,26,24,-122.267,37.8288,-122.125,37.8932,9.16085,14.7398,8.95792,14.4133,1.02265,13.853,13.8531,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.124644 37.893220)"
26_25_transit,transit,26,25,-122.267,37.8288,-122.265,37.7974,2.35491,3.78905,2.17605,3.50126,1.0822,11.8532,11.8789,2,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.265232 37.797357)"
26_27_transit,transit,26,27,-122.267,37.8288,-122.387,37.6002,25.076,40.3474,17.0968,27.5088,1.46671,55.8677,68.0499,2,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.416484 37.637620,-122.391995 37.615923,-122.386940 37.600099,-122.386840 37.600199)"
26_28_transit,transit,26,28,-122.267,37.8288,-121.891,37.4098,36.6493,58.9687,35.5288,57.1658,1.03154,60.8641,60.9124,3,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-121.976705 37.557413,-121.939458 37.502207,-121.890903 37.409736,-121.890803 37.409836)"
26_29_transit,transit,26,29,-122.267,37.8288,-122.402,37.7892,9.07831,14.607,7.83434,12.6055,1.15878,18.8553,21.0196,50,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.401642 37.789213)"
26_33_transit,transit,26,33,-122.267,37.8288,-122.184,37.8785,5.78214,9.30346,5.70189,9.17434,1.01407,8.85207,8.85211,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.183717 37.878503)"
26_34_transit,transit,26,34,-122.267,37.8288,-121.889,38.0169,27.1201,43.6362,24.3648,39.203,1.11309,49.8588,49.8588,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.067479 37.905712,-122.056115 37.928363,-122.029226 37.973673,-122.024661 38.003307,-121.944348 38.018850,-121.889111 38.016773,-121.889011 38.016873)"
26_35_transit,transit,26,35,-122.267,37.8288,-122.056,37.9285,14.0861,22.6646,13.4167,21.5875,1.04989,20.855,20.8551,3,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.067479 37.905712,-122.056115 37.928363,-122.056015 37.928463)"
26_37_transit,transit,26,37,-122.267,37.8288,-122.299,37.9026,5.91295,9.51394,5.38615,8.66631,1.09781,11.854,11.8542,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.283608 37.873932,-122.298995 37.902533,-122.298895 37.902633)"
26_38_transit,transit,26,38,-122.267,37.8288,-122.407,37.7846,9.52341,15.3232,8.24076,13.2594,1.15565,20.8563,23.0433,38,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.407387 37.784645)"
26_39_transit,transit,26,39,-122.267,37.8288,-122.353,37.9368,9.88148,15.8993,8.80785,14.1718,1.12189,19.8559,19.8561,4,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.283608 37.873932,-122.298995 37.902533,-122.316968 37.925105,-122.353104 37.936695,-122.353004 37.936795)"
26_40_transit,transit,26,40,-122.267,37.8288,-122.251,37.8448,1.42191,2.28786,1.40402,2.25906,1.01275,3.85114,3.85116,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.251271 37.844795)"
26_41_transit,transit,26,41,-122.267,37.8288,-122.161,37.7218,10.1336,16.305,9.4055,15.1334,1.07742,23.8564,23.8923,4,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.160713 37.721806)"
26_42_transit,transit,26,42,-122.267,37.8288,-122.416,37.6377,21.9368,35.2963,15.5184,24.9691,1.4136,46.8656,49.0642,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.416484 37.637620,-122.416384 37.637720)"
26_43_transit,transit,26,43,-122.267,37.8288,-122.392,37.616,23.948,38.5323,16.2061,26.0756,1.47772,51.8666,54.0653,4,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.416484 37.637620,-122.391995 37.615923,-122.391895 37.616023)"
26_45_transit,transit,26,45,-122.267,37.8288,-122.444,37.6644,19.5421,31.4433,14.9199,24.0061,1.3098,43.8645,46.0631,1,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.444254 37.664437)"
26_46_transit,transit,26,46,-122.267,37.8288,-122.017,37.5908,22.2001,35.72,21.3816,34.403,1.03828,40.8607,40.9077,3,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-122.017230 37.590765)"
26_47_transit,transit,26,47,-122.267,37.8288,-121.939,37.5023,29.7259,47.8289,28.8165,46.3657,1.03156,51.8629,51.9111,2,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-121.976705 37.557413,-121.939458 37.502207,-121.939358 37.502307)"
26_48_transit,transit,26,48,-122.267,37.8288,-122.067,37.9058,12.4026,19.9558,12.1266,19.5117,1.02276,17.854,17.8541,7,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.067479 37.905712,-122.067379 37.905812)"
26_50_transit,transit,26,50,-122.267,37.8288,-122.295,37.8049,3.09816,4.98494,2.24888,3.61845,1.37764,10.8532,11.7195,2,"LINESTRING(-122.267163 37.828814,-122.267263 37.828714,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.295144 37.804923)"
