path_id,service_route_id,o_zone_id,d_zone_id,unique_route_id,agent_type,demand_period,toll,travel_time,distance,link_sequence,node_sequence,geometry,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,seed_od_volume,target_od_volume,final_est_od_volume,volume
1052,4,15,29,4,transit,AM,0,12.4121,11479.7,138;1092;1086;1100;1082;1078;1088;1112;1105,15;415;412;419;410;408;413;425;422;29,,0.0239468,15;415;412;419;410;408;413;425;422;29,138;1092;1086;1100;1082;1078;1088;1112;1105,7.13469,11.4797,12.4121,12.4121,3368_8881,142,0,142,3.40044
1053,0,15,29,1,transit,AM,0,12.4121,11479.7,130;578;568;585;566;564;574;591;588,15;151;146;155;145;144;149;158;157;29,,0.287081,15;151;146;155;145;144;149;158;157;29,130;578;568;585;566;564;574;591;588,7.13469,11.4797,12.4121,12.4121,1249_4744,142,0,142,40.7655
1054,0,15,30,1,transit,AM,0,34.3651,32084.5,138;1092;1086;1100;1082;1078;1088;1112;1106;1098;1122;1076;1080;1102;1084;1094;1107,15;415;412;419;410;408;413;425;422;418;430;407;409;420;411;416;423;30,,1,15;415;412;419;410;408;413;425;422;418;430;407;409;420;411;416;423;30,138;1092;1086;1100;1082;1078;1088;1112;1106;1098;1122;1076;1080;1102;1084;1094;1107,19.9406,32.0845,34.3651,34.3651,6703_17645,2,0,2,2
1055,5,15,38,6,transit,AM,0,11.6492,10763.7,131;650;628;662;620;608;634;712,15;189;178;195;173;167;181;221;38,,0.0510864,15;189;178;195;173;167;181;221;38,131;650;628;662;620;608;634;712,6.68969,10.7637,11.6492,11.6492,1357_4645,94,0,94,4.80212
1056,4,15,38,5,transit,AM,0,11.6492,10763.7,138;1092;1086;1100;1082;1078;1088;1111,15;415;412;419;410;408;413;425;38,,0.0239468,15;415;412;419;410;408;413;425;38,138;1092;1086;1100;1082;1078;1088;1111,6.68969,10.7637,11.6492,11.6492,2955_7775,94,0,94,2.251
1057,2,15,38,3,transit,AM,0,11.6493,10763.7,133;654;632;666;624;612;638;716,15;191;180;197;175;169;183;223;38,,0.0558212,15;191;180;197;175;169;183;223;38,133;654;632;666;624;612;638;716,6.68969,10.7637,11.6492,11.6493,1371_4675,94,0,94,5.24719
1058,1,15,38,2,transit,AM,0,11.6492,10763.7,132;652;630;664;622;610;636;714,15;190;179;196;174;168;182;222;38,,0.0948977,15;190;179;196;174;168;182;222;38,132;652;630;664;622;610;636;714,6.68969,10.7637,11.6492,11.6492,1364_4660,94,0,94,8.92038
1059,3,15,38,4,transit,AM,0,11.6493,10763.7,136;990;980;1000;978;976;986;1011,15;364;358;369;357;356;362;375;38,,0.487167,15;364;358;369;357;356;362;375;38,136;990;980;1000;978;976;986;1011,6.68969,10.7637,11.6492,11.6493,2594_7057,94,0,94,45.7937
1060,0,15,38,1,transit,AM,0,11.6492,10763.7,130;578;568;585;566;564;574;590,15;151;146;155;145;144;149;158;38,,0.287081,15;151;146;155;145;144;149;158;38,130;578;568;585;566;564;574;590,6.68969,10.7637,11.6492,11.6492,1101_4155,94,0,94,26.9856
1061,0,15,39,1,transit,AM,0,44.8472,41922.8,138;1092;1086;1100;1082;1078;1088;1112;1106;1098;1122;1076;1080;1102;1084;1094;1108;1110;1096;1113,15;415;412;419;410;408;413;425;422;418;430;407;409;420;411;416;423;424;417;426;39,,1,15;415;412;419;410;408;413;425;422;418;430;407;409;420;411;416;423;424;417;426;39,138;1092;1086;1100;1082;1078;1088;1112;1106;1098;1122;1076;1080;1102;1084;1094;1108;1110;1096;1113,26.0552,41.9228,44.8472,44.8472,7979_20965,2,0,2,2
